index,value
1873 dez,49.2
1874 jan,60.8
1874 fev,64.2
1874 mar,46.4
1874 abr,32
1874 mai,44.6
1874 jun,38.2
1874 jul,67.8
1874 ago,61.3
1874 set,28
1874 out,34.3
1874 nov,28.9
1874 dez,29.3
1875 jan,14.6
1875 fev,22.2
1875 mar,33.8
1875 abr,29.1
1875 mai,11.5
1875 jun,23.9
1875 jul,12.5
1875 ago,14.6
1875 set,2.4
1875 out,12.7
1875 nov,17.7
1875 dez,9.9
1876 jan,14.3
1876 fev,15
1876 mar,31.2
1876 abr,2.3
1876 mai,5.1
1876 jun,1.6
1876 jul,15.2
1876 ago,8.8
1876 set,9.9
1876 out,14.3
1876 nov,9.9
1876 dez,8.2
1877 jan,24.4
1877 fev,8.7
1877 mar,11.7
1877 abr,15.8
1877 mai,21.2
1877 jun,13.4
1877 jul,5.9
1877 ago,6.3
1877 set,16.4
1877 out,6.7
1877 nov,14.5
1877 dez,2.3
1878 jan,3.3
1878 fev,6
1878 mar,7.8
1878 abr,0.1
1878 mai,5.8
1878 jun,6.4
1878 jul,0.1
1878 ago,0
1878 set,5.3
1878 out,1.1
1878 nov,4.1
1878 dez,0.5
1879 jan,0.8
1879 fev,0.6
1879 mar,0
1879 abr,6.2
1879 mai,2.4
1879 jun,4.8
1879 jul,7.5
1879 ago,10.7
1879 set,6.1
1879 out,12.3
1879 nov,12.9
1879 dez,7.2
1880 jan,24
1880 fev,27.5
1880 mar,19.5
1880 abr,19.3
1880 mai,23.5
1880 jun,34.1
1880 jul,21.9
1880 ago,48.1
1880 set,66
1880 out,43
1880 nov,30.7
1880 dez,29.6
1881 jan,36.4
1881 fev,53.2
1881 mar,51.5
1881 abr,51.7
1881 mai,43.5
1881 jun,60.5
1881 jul,76.9
1881 ago,58
1881 set,53.2
1881 out,64
1881 nov,54.8
1881 dez,47.3
1882 jan,45
1882 fev,69.3
1882 mar,67.5
1882 abr,95.8
1882 mai,64.1
1882 jun,45.2
1882 jul,45.4
1882 ago,40.4
1882 set,57.7
1882 out,59.2
1882 nov,84.4
1882 dez,41.8
1883 jan,60.6
1883 fev,46.9
1883 mar,42.8
1883 abr,82.1
1883 mai,32.1
1883 jun,76.5
1883 jul,80.6
1883 ago,46
1883 set,52.6
1883 out,83.8
1883 nov,84.5
1883 dez,75.9
1884 jan,91.5
1884 fev,86.9
1884 mar,86.8
1884 abr,76.1
1884 mai,66.5
1884 jun,51.2
1884 jul,53.1
1884 ago,55.8
1884 set,61.9
1884 out,47.8
1884 nov,36.6
1884 dez,47.2
1885 jan,42.8
1885 fev,71.8
1885 mar,49.8
1885 abr,55
1885 mai,73
1885 jun,83.7
1885 jul,66.5
1885 ago,50
1885 set,39.6
1885 out,38.7
1885 nov,33.3
1885 dez,21.7
1886 jan,29.9
1886 fev,25.9
1886 mar,57.3
1886 abr,43.7
1886 mai,30.7
1886 jun,27.1
1886 jul,30.3
1886 ago,16.9
1886 set,21.4
1886 out,8.6
1886 nov,0.3
1886 dez,12.4
1887 jan,10.3
1887 fev,13.2
1887 mar,4.2
1887 abr,6.9
1887 mai,20
1887 jun,15.7
1887 jul,23.3
1887 ago,21.4
1887 set,7.4
1887 out,6.6
1887 nov,6.9
1887 dez,20.7
1888 jan,12.7
1888 fev,7.1
1888 mar,7.8
1888 abr,5.1
1888 mai,7
1888 jun,7.1
1888 jul,3.1
1888 ago,2.8
1888 set,8.8
1888 out,2.1
1888 nov,10.7
1888 dez,6.7
1889 jan,0.8
1889 fev,8.5
1889 mar,7
1889 abr,4.3
1889 mai,2.4
1889 jun,6.4
1889 jul,9.7
1889 ago,20.6
1889 set,6.5
1889 out,2.1
1889 nov,0.2
1889 dez,6.7
1890 jan,5.3
1890 fev,0.6
1890 mar,5.1
1890 abr,1.6
1890 mai,4.8
1890 jun,1.3
1890 jul,11.6
1890 ago,8.5
1890 set,17.2
1890 out,11.2
1890 nov,9.6
1890 dez,7.8
1891 jan,13.5
1891 fev,22.2
1891 mar,10.4
1891 abr,20.5
1891 mai,41.1
1891 jun,48.3
1891 jul,58.8
1891 ago,33.2
1891 set,53.8
1891 out,51.5
1891 nov,41.9
1891 dez,32.3
1892 jan,69.1
1892 fev,75.6
1892 mar,49.9
1892 abr,69.6
1892 mai,79.6
1892 jun,76.3
1892 jul,76.8
1892 ago,101.4
1892 set,62.8
1892 out,70.5
1892 nov,65.4
1892 dez,78.6
1893 jan,75
1893 fev,73
1893 mar,65.7
1893 abr,88.1
1893 mai,84.7
1893 jun,88.2
1893 jul,88.8
1893 ago,129.2
1893 set,77.9
1893 out,79.7
1893 nov,75.1
1893 dez,93.8
1894 jan,83.2
1894 fev,84.6
1894 mar,52.3
1894 abr,81.6
1894 mai,101.2
1894 jun,98.9
1894 jul,106
1894 ago,70.3
1894 set,65.9
1894 out,75.5
1894 nov,56.6
1894 dez,60
1895 jan,63.3
1895 fev,67.2
1895 mar,61
1895 abr,76.9
1895 mai,67.5
1895 jun,71.5
1895 jul,47.8
1895 ago,68.9
1895 set,57.7
1895 out,67.9
1895 nov,47.2
1895 dez,70.7
1896 jan,29
1896 fev,57.4
1896 mar,52
1896 abr,43.8
1896 mai,27.7
1896 jun,49
1896 jul,45
1896 ago,27.2
1896 set,61.3
1896 out,28.4
1896 nov,38
1896 dez,42.6
1897 jan,40.6
1897 fev,29.4
1897 mar,29.1
1897 abr,31
1897 mai,20
1897 jun,11.3
1897 jul,27.6
1897 ago,21.8
1897 set,48.1
1897 out,14.3
1897 nov,8.4
1897 dez,33.3
1898 jan,30.2
1898 fev,36.4
1898 mar,38.3
1898 abr,14.5
1898 mai,25.8
1898 jun,22.3
1898 jul,9
1898 ago,31.4
1898 set,34.8
1898 out,34.4
1898 nov,30.9
1898 dez,12.6
1899 jan,19.5
1899 fev,9.2
1899 mar,18.1
1899 abr,14.2
1899 mai,7.7
1899 jun,20.5
1899 jul,13.5
1899 ago,2.9
1899 set,8.4
1899 out,13
1899 nov,7.8
1899 dez,10.5
1900 jan,9.4
1900 fev,13.6
1900 mar,8.6
1900 abr,16
1900 mai,15.2
1900 jun,12.1
1900 jul,8.3
1900 ago,4.3
1900 set,8.3
1900 out,12.9
1900 nov,4.5
1900 dez,0.3
1901 jan,0.2
1901 fev,2.4
1901 mar,4.5
1901 abr,0
1901 mai,10.2
1901 jun,5.8
1901 jul,0.7
1901 ago,1
1901 set,0.6
1901 out,3.7
1901 nov,3.8
1901 dez,0
1902 jan,5.2
1902 fev,0
1902 mar,12.4
1902 abr,0
1902 mai,2.8
1902 jun,1.4
1902 jul,0.9
1902 ago,2.3
1902 set,7.6
1902 out,16.3
1902 nov,10.3
1902 dez,1.1
1903 jan,8.3
1903 fev,17
1903 mar,13.5
1903 abr,26.1
1903 mai,14.6
1903 jun,16.3
1903 jul,27.9
1903 ago,28.8
1903 set,11.1
1903 out,38.9
1903 nov,44.5
1903 dez,45.6
1904 jan,31.6
1904 fev,24.5
1904 mar,37.2
1904 abr,43
1904 mai,39.5
1904 jun,41.9
1904 jul,50.6
1904 ago,58.2
1904 set,30.1
1904 out,54.2
1904 nov,38
1904 dez,54.6
1905 jan,54.8
1905 fev,85.8
1905 mar,56.5
1905 abr,39.3
1905 mai,48
1905 jun,49
1905 jul,73
1905 ago,58.8
1905 set,55
1905 out,78.7
1905 nov,107.2
1905 dez,55.5
1906 jan,45.5
1906 fev,31.3
1906 mar,64.5
1906 abr,55.3
1906 mai,57.7
1906 jun,63.2
1906 jul,103.6
1906 ago,47.7
1906 set,56.1
1906 out,17.8
1906 nov,38.9
1906 dez,64.7
1907 jan,76.4
1907 fev,108.2
1907 mar,60.7
1907 abr,52.6
1907 mai,42.9
1907 jun,40.4
1907 jul,49.7
1907 ago,54.3
1907 set,85
1907 out,65.4
1907 nov,61.5
1907 dez,47.3
1908 jan,39.2
1908 fev,33.9
1908 mar,28.7
1908 abr,57.6
1908 mai,40.8
1908 jun,48.1
1908 jul,39.5
1908 ago,90.5
1908 set,86.9
1908 out,32.3
1908 nov,45.5
1908 dez,39.5
1909 jan,56.7
1909 fev,46.6
1909 mar,66.3
1909 abr,32.3
1909 mai,36
1909 jun,22.6
1909 jul,35.8
1909 ago,23.1
1909 set,38.8
1909 out,58.4
1909 nov,55.8
1909 dez,54.2
1910 jan,26.4
1910 fev,31.5
1910 mar,21.4
1910 abr,8.4
1910 mai,22.2
1910 jun,12.3
1910 jul,14.1
1910 ago,11.5
1910 set,26.2
1910 out,38.3
1910 nov,4.9
1910 dez,5.8
1911 jan,3.4
1911 fev,9
1911 mar,7.8
1911 abr,16.5
1911 mai,9
1911 jun,2.2
1911 jul,3.5
1911 ago,4
1911 set,4
1911 out,2.6
1911 nov,4.2
1911 dez,2.2
1912 jan,0.3
1912 fev,0
1912 mar,4.9
1912 abr,4.5
1912 mai,4.4
1912 jun,4.1
1912 jul,3
1912 ago,0.3
1912 set,9.5
1912 out,4.6
1912 nov,1.1
1912 dez,6.4
1913 jan,2.3
1913 fev,2.9
1913 mar,0.5
1913 abr,0.9
1913 mai,0
1913 jun,0
1913 jul,1.7
1913 ago,0.2
1913 set,1.2
1913 out,3.1
1913 nov,0.7
1913 dez,3.8
1914 jan,2.8
1914 fev,2.6
1914 mar,3.1
1914 abr,17.3
1914 mai,5.2
1914 jun,11.4
1914 jul,5.4
1914 ago,7.7
1914 set,12.7
1914 out,8.2
1914 nov,16.4
1914 dez,22.3
1915 jan,23
1915 fev,42.3
1915 mar,38.8
1915 abr,41.3
1915 mai,33
1915 jun,68.8
1915 jul,71.6
1915 ago,69.6
1915 set,49.5
1915 out,53.5
1915 nov,42.5
1915 dez,34.5
1916 jan,45.3
1916 fev,55.4
1916 mar,67
1916 abr,71.8
1916 mai,74.5
1916 jun,67.7
1916 jul,53.5
1916 ago,35.2
1916 set,45.1
1916 out,50.7
1916 nov,65.6
1916 dez,53
1917 jan,74.7
1917 fev,71.9
1917 mar,94.8
1917 abr,74.7
1917 mai,114.1
1917 jun,114.9
1917 jul,119.8
1917 ago,154.5
1917 set,129.4
1917 out,72.2
1917 nov,96.4
1917 dez,129.3
1918 jan,96
1918 fev,65.3
1918 mar,72.2
1918 abr,80.5
1918 mai,76.7
1918 jun,59.4
1918 jul,107.6
1918 ago,101.7
1918 set,79.9
1918 out,85
1918 nov,83.4
1918 dez,59.2
1919 jan,48.1
1919 fev,79.5
1919 mar,66.5
1919 abr,51.8
1919 mai,88.1
1919 jun,111.2
1919 jul,64.7
1919 ago,69
1919 set,54.7
1919 out,52.8
1919 nov,42
1919 dez,34.9
1920 jan,51.1
1920 fev,53.9
1920 mar,70.2
1920 abr,14.8
1920 mai,33.3
1920 jun,38.7
1920 jul,27.5
1920 ago,19.2
1920 set,36.3
1920 out,49.6
1920 nov,27.2
1920 dez,29.9
1921 jan,31.5
1921 fev,28.3
1921 mar,26.7
1921 abr,32.4
1921 mai,22.2
1921 jun,33.7
1921 jul,41.9
1921 ago,22.8
1921 set,17.8
1921 out,18.2
1921 nov,17.8
1921 dez,20.3
1922 jan,11.8
1922 fev,26.4
1922 mar,54.7
1922 abr,11
1922 mai,8
1922 jun,5.8
1922 jul,10.9
1922 ago,6.5
1922 set,4.7
1922 out,6.2
1922 nov,7.4
1922 dez,17.5
1923 jan,4.5
1923 fev,1.5
1923 mar,3.3
1923 abr,6.1
1923 mai,3.2
1923 jun,9.1
1923 jul,3.5
1923 ago,0.5
1923 set,13.2
1923 out,11.6
1923 nov,10
1923 dez,2.8
1924 jan,0.5
1924 fev,5.1
1924 mar,1.8
1924 abr,11.3
1924 mai,20.8
1924 jun,24
1924 jul,28.1
1924 ago,19.3
1924 set,25.1
1924 out,25.6
1924 nov,22.5
1924 dez,16.5
1925 jan,5.5
1925 fev,23.2
1925 mar,18
1925 abr,31.7
1925 mai,42.8
1925 jun,47.5
1925 jul,38.5
1925 ago,37.9
1925 set,60.2
1925 out,69.2
1925 nov,58.6
1925 dez,98.6
1926 jan,71.8
1926 fev,70
1926 mar,62.5
1926 abr,38.5
1926 mai,64.3
1926 jun,73.5
1926 jul,52.3
1926 ago,61.6
1926 set,60.8
1926 out,71.5
1926 nov,60.5
1926 dez,79.4
1927 jan,81.6
1927 fev,93
1927 mar,69.6
1927 abr,93.5
1927 mai,79.1
1927 jun,59.1
1927 jul,54.9
1927 ago,53.8
1927 set,68.4
1927 out,63.1
1927 nov,67.2
1927 dez,45.2
1928 jan,83.5
1928 fev,73.5
1928 mar,85.4
1928 abr,80.6
1928 mai,76.9
1928 jun,91.4
1928 jul,98
1928 ago,83.8
1928 set,89.7
1928 out,61.4
1928 nov,50.3
1928 dez,59
1929 jan,68.9
1929 fev,64.1
1929 mar,50.2
1929 abr,52.8
1929 mai,58.2
1929 jun,71.9
1929 jul,70.2
1929 ago,65.8
1929 set,34.4
1929 out,54
1929 nov,81.1
1929 dez,108
1930 jan,65.3
1930 fev,49.2
1930 mar,35
1930 abr,38.2
1930 mai,36.8
1930 jun,28.8
1930 jul,21.9
1930 ago,24.9
1930 set,32.1
1930 out,34.4
1930 nov,35.6
1930 dez,25.8
1931 jan,14.6
1931 fev,43.1
1931 mar,30
1931 abr,31.2
1931 mai,24.6
1931 jun,15.3
1931 jul,17.4
1931 ago,13
1931 set,19
1931 out,10
1931 nov,18.7
1931 dez,17.8
1932 jan,12.1
1932 fev,10.6
1932 mar,11.2
1932 abr,11.2
1932 mai,17.9
1932 jun,22.2
1932 jul,9.6
1932 ago,6.8
1932 set,4
1932 out,8.9
1932 nov,8.2
1932 dez,11
1933 jan,12.3
1933 fev,22.2
1933 mar,10.1
1933 abr,2.9
1933 mai,3.2
1933 jun,5.2
1933 jul,2.8
1933 ago,0.2
1933 set,5.1
1933 out,3
1933 nov,0.6
1933 dez,0.3
1934 jan,3.4
1934 fev,7.8
1934 mar,4.3
1934 abr,11.3
1934 mai,19.7
1934 jun,6.7
1934 jul,9.3
1934 ago,8.3
1934 set,4
1934 out,5.7
1934 nov,8.7
1934 dez,15.4
1935 jan,18.9
1935 fev,20.5
1935 mar,23.1
1935 abr,12.2
1935 mai,27.3
1935 jun,45.7
1935 jul,33.9
1935 ago,30.1
1935 set,42.1
1935 out,53.2
1935 nov,64.2
1935 dez,61.5
1936 jan,62.8
1936 fev,74.3
1936 mar,77.1
1936 abr,74.9
1936 mai,54.6
1936 jun,70
1936 jul,52.3
1936 ago,87
1936 set,76
1936 out,89
1936 nov,115.4
1936 dez,123.4
1937 jan,132.5
1937 fev,128.5
1937 mar,83.9
1937 abr,109.3
1937 mai,116.7
1937 jun,130.3
1937 jul,145.1
1937 ago,137.7
1937 set,100.7
1937 out,124.9
1937 nov,74.4
1937 dez,88.8
1938 jan,98.4
1938 fev,119.2
1938 mar,86.5
1938 abr,101
1938 mai,127.4
1938 jun,97.5
1938 jul,165.3
1938 ago,115.7
1938 set,89.6
1938 out,99.1
1938 nov,122.2
1938 dez,92.7
1939 jan,80.3
1939 fev,77.4
1939 mar,64.6
1939 abr,109.1
1939 mai,118.3
1939 jun,101
1939 jul,97.6
1939 ago,105.8
1939 set,112.6
1939 out,88.1
1939 nov,68.1
1939 dez,42.1
1940 jan,50.5
1940 fev,59.4
1940 mar,83.3
1940 abr,60.7
1940 mai,54.4
1940 jun,83.9
1940 jul,67.5
1940 ago,105.5
1940 set,66.5
1940 out,55
1940 nov,58.4
1940 dez,68.3
1941 jan,45.6
1941 fev,44.5
1941 mar,46.4
1941 abr,32.8
1941 mai,29.5
1941 jun,59.8
1941 jul,66.9
1941 ago,60
1941 set,65.9
1941 out,46.3
1941 nov,38.3
1941 dez,33.7
1942 jan,35.6
1942 fev,52.8
1942 mar,54.2
1942 abr,60.7
1942 mai,25
1942 jun,11.4
1942 jul,17.7
1942 ago,20.2
1942 set,17.2
1942 out,19.2
1942 nov,30.7
1942 dez,22.5
1943 jan,12.4
1943 fev,28.9
1943 mar,27.4
1943 abr,26.1
1943 mai,14.1
1943 jun,7.6
1943 jul,13.2
1943 ago,19.4
1943 set,10
1943 out,7.8
1943 nov,10.2
1943 dez,18.8
1944 jan,3.7
1944 fev,0.5
1944 mar,11
1944 abr,0.3
1944 mai,2.5
1944 jun,5
1944 jul,5
1944 ago,16.7
1944 set,14.3
1944 out,16.9
1944 nov,10.8
1944 dez,28.4
1945 jan,18.5
1945 fev,12.7
1945 mar,21.5
1945 abr,32
1945 mai,30.6
1945 jun,36.2
1945 jul,42.6
1945 ago,25.9
1945 set,34.9
1945 out,68.8
1945 nov,46
1945 dez,27.4
1946 jan,47.6
1946 fev,86.2
1946 mar,76.6
1946 abr,75.7
1946 mai,84.9
1946 jun,73.5
1946 jul,116.2
1946 ago,107.2
1946 set,94.4
1946 out,102.3
1946 nov,123.8
1946 dez,121.7
1947 jan,115.7
1947 fev,113.4
1947 mar,129.8
1947 abr,149.8
1947 mai,201.3
1947 jun,163.9
1947 jul,157.9
1947 ago,188.8
1947 set,169.4
1947 out,163.6
1947 nov,128
1947 dez,116.5
1948 jan,108.5
1948 fev,86.1
1948 mar,94.8
1948 abr,189.7
1948 mai,174
1948 jun,167.8
1948 jul,142.2
1948 ago,157.9
1948 set,143.3
1948 out,136.3
1948 nov,95.8
1948 dez,138
1949 jan,119.1
1949 fev,182.3
1949 mar,157.5
1949 abr,147
1949 mai,106.2
1949 jun,121.7
1949 jul,125.8
1949 ago,123.8
1949 set,145.3
1949 out,131.6
1949 nov,143.5
1949 dez,117.6
1950 jan,101.6
1950 fev,94.8
1950 mar,109.7
1950 abr,113.4
1950 mai,106.2
1950 jun,83.6
1950 jul,91
1950 ago,85.2
1950 set,51.3
1950 out,61.4
1950 nov,54.8
1950 dez,54.1
1951 jan,59.9
1951 fev,59.9
1951 mar,59.9
1951 abr,92.9
1951 mai,108.5
1951 jun,100.6
1951 jul,61.5
1951 ago,61
1951 set,83.1
1951 out,51.6
1951 nov,52.4
1951 dez,45.8
1952 jan,40.7
1952 fev,22.7
1952 mar,22
1952 abr,29.1
1952 mai,23.4
1952 jun,36.4
1952 jul,39.3
1952 ago,54.9
1952 set,28.2
1952 out,23.8
1952 nov,22.1
1952 dez,34.3
1953 jan,26.5
1953 fev,3.9
1953 mar,10
1953 abr,27.8
1953 mai,12.5
1953 jun,21.8
1953 jul,8.6
1953 ago,23.5
1953 set,19.3
1953 out,8.2
1953 nov,1.6
1953 dez,2.5
1954 jan,0.2
1954 fev,0.5
1954 mar,10.9
1954 abr,1.8
1954 mai,0.8
1954 jun,0.2
1954 jul,4.8
1954 ago,8.4
1954 set,1.5
1954 out,7
1954 nov,9.2
1954 dez,7.6
1955 jan,23.1
1955 fev,20.8
1955 mar,4.9
1955 abr,11.3
1955 mai,28.9
1955 jun,31.7
1955 jul,26.7
1955 ago,40.7
1955 set,42.7
1955 out,58.5
1955 nov,89.2
1955 dez,76.9
1956 jan,73.6
1956 fev,124
1956 mar,118.4
1956 abr,110.7
1956 mai,136.6
1956 jun,116.6
1956 jul,129.1
1956 ago,169.6
1956 set,173.2
1956 out,155.3
1956 nov,201.3
1956 dez,192.1
1957 jan,165
1957 fev,130.2
1957 mar,157.4
1957 abr,175.2
1957 mai,164.6
1957 jun,200.7
1957 jul,187.2
1957 ago,158
1957 set,235.8
1957 out,253.8
1957 nov,210.9
1957 dez,239.4
1958 jan,202.5
1958 fev,164.9
1958 mar,190.7
1958 abr,196
1958 mai,175.3
1958 jun,171.5
1958 jul,191.4
1958 ago,200.2
1958 set,201.2
1958 out,181.5
1958 nov,152.3
1958 dez,187.6
1959 jan,217.4
1959 fev,143.1
1959 mar,185.7
1959 abr,163.3
1959 mai,172
1959 jun,168.7
1959 jul,149.6
1959 ago,199.6
1959 set,145.2
1959 out,111.4
1959 nov,124
1959 dez,125
1960 jan,146.3
1960 fev,106
1960 mar,102.2
1960 abr,122
1960 mai,119.6
1960 jun,110.2
1960 jul,121.7
1960 ago,134.1
1960 set,127.2
1960 out,82.8
1960 nov,89.6
1960 dez,85.6
1961 jan,57.9
1961 fev,46.1
1961 mar,53
1961 abr,61.4
1961 mai,51
1961 jun,77.4
1961 jul,70.2
1961 ago,55.9
1961 set,63.6
1961 out,37.7
1961 nov,32.6
1961 dez,40
1962 jan,38.7
1962 fev,50.3
1962 mar,45.6
1962 abr,46.4
1962 mai,43.7
1962 jun,42
1962 jul,21.8
1962 ago,21.8
1962 set,51.3
1962 out,39.5
1962 nov,26.9
1962 dez,23.2
1963 jan,19.8
1963 fev,24.4
1963 mar,17.1
1963 abr,29.3
1963 mai,43
1963 jun,35.9
1963 jul,19.6
1963 ago,33.2
1963 set,38.8
1963 out,35.3
1963 nov,23.4
1963 dez,14.9
1964 jan,15.3
1964 fev,17.7
1964 mar,16.5
1964 abr,8.6
1964 mai,9.5
1964 jun,9.1
1964 jul,3.1
1964 ago,9.3
1964 set,4.7
1964 out,6.1
1964 nov,7.4
1964 dez,15.1
1965 jan,17.5
1965 fev,14.2
1965 mar,11.7
1965 abr,6.8
1965 mai,24.1
1965 jun,15.9
1965 jul,11.9
1965 ago,8.9
1965 set,16.8
1965 out,20.1
1965 nov,15.8
1965 dez,17
1966 jan,28.2
1966 fev,24.4
1966 mar,25.3
1966 abr,48.7
1966 mai,45.3
1966 jun,47.7
1966 jul,56.7
1966 ago,51.2
1966 set,50.2
1966 out,57.2
1966 nov,57.2
1966 dez,70.4
1967 jan,110.9
1967 fev,93.6
1967 mar,111.8
1967 abr,69.5
1967 mai,86.5
1967 jun,67.3
1967 jul,91.5
1967 ago,107.2
1967 set,76.8
1967 out,88.2
1967 nov,94.3
1967 dez,126.4
1968 jan,121.8
1968 fev,111.9
1968 mar,92.2
1968 abr,81.2
1968 mai,127.2
1968 jun,110.3
1968 jul,96.1
1968 ago,109.3
1968 set,117.2
1968 out,107.7
1968 nov,86
1968 dez,109.8
1969 jan,104.4
1969 fev,120.5
1969 mar,135.8
1969 abr,106.8
1969 mai,120
1969 jun,106
1969 jul,96.8
1969 ago,98
1969 set,91.3
1969 out,95.7
1969 nov,93.5
1969 dez,97.9
1970 jan,111.5
1970 fev,127.8
1970 mar,102.9
1970 abr,109.5
1970 mai,127.5
1970 jun,106.8
1970 jul,112.5
1970 ago,93
1970 set,99.5
1970 out,86.6
1970 nov,95.2
1970 dez,83.5
1971 jan,91.3
1971 fev,79
1971 mar,60.7
1971 abr,71.8
1971 mai,57.5
1971 jun,49.8
1971 jul,81
1971 ago,61.4
1971 set,50.2
1971 out,51.7
1971 nov,63.2
1971 dez,82.2
1972 jan,61.5
1972 fev,88.4
1972 mar,80.1
1972 abr,63.2
1972 mai,80.5
1972 jun,88
1972 jul,76.5
1972 ago,76.8
1972 set,64
1972 out,61.3
1972 nov,41.6
1972 dez,45.3
1973 jan,43.4
1973 fev,42.9
1973 mar,46
1973 abr,57.7
1973 mai,42.4
1973 jun,39.5
1973 jul,23.1
1973 ago,25.6
1973 set,59.3
1973 out,30.7
1973 nov,23.9
1973 dez,23.3
1974 jan,27.6
1974 fev,26
1974 mar,21.3
1974 abr,40.3
1974 mai,39.5
1974 jun,36
1974 jul,55.8
1974 ago,33.6
1974 set,40.2
1974 out,47.1
1974 nov,25
1974 dez,20.5
1975 jan,18.9
1975 fev,11.5
1975 mar,11.5
1975 abr,5.1
1975 mai,9
1975 jun,11.4
1975 jul,28.2
1975 ago,39.7
1975 set,13.9
1975 out,9.1
1975 nov,19.4
1975 dez,7.8
1976 jan,8.1
1976 fev,4.3
1976 mar,21.9
1976 abr,18.8
1976 mai,12.4
1976 jun,12.2
1976 jul,1.9
1976 ago,16.4
1976 set,13.5
1976 out,20.6
1976 nov,5.2
1976 dez,15.3
1977 jan,16.4
1977 fev,23.1
1977 mar,8.7
1977 abr,12.9
1977 mai,18.6
1977 jun,38.5
1977 jul,21.4
1977 ago,30.1
1977 set,44
1977 out,43.8
1977 nov,29.1
1977 dez,43.2
1978 jan,51.9
1978 fev,93.6
1978 mar,76.5
1978 abr,99.7
1978 mai,82.7
1978 jun,95.1
1978 jul,70.4
1978 ago,58.1
1978 set,138.2
1978 out,125.1
1978 nov,97.9
1978 dez,122.7
1979 jan,166.6
1979 fev,137.5
1979 mar,138
1979 abr,101.5
1979 mai,134.4
1979 jun,149.5
1979 jul,159.4
1979 ago,142.2
1979 set,188.4
1979 out,186.2
1979 nov,183.3
1979 dez,176.3
1980 jan,159.6
1980 fev,155
1980 mar,126.2
1980 abr,164.1
1980 mai,179.9
1980 jun,157.3
1980 jul,136.3
1980 ago,135.4
1980 set,155
1980 out,164.7
1980 nov,147.9
1980 dez,174.4
1981 jan,114
1981 fev,141.3
1981 mar,135.5
1981 abr,156.4
1981 mai,127.5
1981 jun,90
1981 jul,143.8
1981 ago,158.7
1981 set,167.3
1981 out,162.4
1981 nov,137.5
1981 dez,150.1
1982 jan,111.2
1982 fev,163.6
1982 mar,153.8
1982 abr,122
1982 mai,82.2
1982 jun,110.4
1982 jul,106.1
1982 ago,107.6
1982 set,118.8
1982 out,94.7
1982 nov,98.1
1982 dez,127
1983 jan,84.3
1983 fev,51
1983 mar,66.5
1983 abr,80.7
1983 mai,99.2
1983 jun,91.1
1983 jul,82.2
1983 ago,71.8
1983 set,50.3
1983 out,55.8
1983 nov,33.3
1983 dez,33.4
